Time Elapsed (s),Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
0.003000020980834961,-4.169989,0.465691,-11.258497,0.035757,-0.03357,0.074319
0.01900005340576172,-4.376687,0.460137,-11.081663,0.035543,-0.035975,0.075906
0.01900005340576172,-4.376687,0.460137,-11.081663,0.035543,-0.035975,0.075906
0.026000022888183594,-4.444043,0.436705,-11.034276,0.03616,-0.037206,0.077667
0.029999971389770508,-4.477122,0.408638,-10.997157,0.036274,-0.037033,0.079598
0.03399991989135742,-4.492156,0.400643,-10.954456,0.036886,-0.037058,0.08231
0.03800010681152344,-4.523482,0.370815,-10.920276,0.037951,-0.036743,0.084367
0.04200005531311035,-4.544316,0.337171,-10.878559,0.0384,-0.03725,0.085874
0.04500007629394531,-4.548324,0.330284,-10.831055,0.038836,-0.037537,0.087973
0.04900002479553223,-4.585979,0.315406,-10.800356,0.03903,-0.038532,0.089165
0.05299997329711914,-4.610705,0.297159,-10.777922,0.038649,-0.039241,0.089737
0.056999921798706055,-4.635812,0.302099,-10.761335,0.038447,-0.039427,0.089805
0.06100010871887207,-4.641078,0.297739,-10.724464,0.038016,-0.039344,0.089615
0.06500005722045898,-4.664814,0.303065,-10.710578,0.038161,-0.039571,0.089807
0.0710000991821289,-4.677417,0.267305,-10.675707,0.038113,-0.039142,0.089181
0.07599997520446777,-4.684995,0.237376,-10.652728,0.037971,-0.039704,0.087931
0.07999992370605469,-4.701466,0.206511,-10.628646,0.03823,-0.039592,0.086773
0.0840001106262207,-4.709599,0.178641,-10.618066,0.038327,-0.040008,0.08547
0.08699989318847656,-4.705551,0.159242,-10.592605,0.038649,-0.039905,0.084314
0.09100008010864258,-4.716636,0.128648,-10.573726,0.038949,-0.03973,0.082458
0.09500002861022949,-4.69458,0.097665,-10.569296,0.039759,-0.039337,0.081479
0.0989999771118164,-4.677483,0.062717,-10.555154,0.039804,-0.038646,0.080039
0.10299992561340332,-4.645804,0.025154,-10.525563,0.040017,-0.037963,0.078653
0.10700011253356934,-4.624027,0.00037,-10.555452,0.040428,-0.037889,0.077606
0.11100006103515625,-4.590132,-0.034835,-10.563329,0.040786,-0.037456,0.076566
0.11500000953674316,-4.557666,-0.081027,-10.550172,0.041531,-0.036832,0.075808
0.12100005149841309,-4.493032,-0.176334,-10.559422,0.042619,-0.035988,0.075165
0.125,-4.457927,-0.211354,-10.520632,0.043396,-0.035902,0.075162
0.12899994850158691,-4.415755,-0.248974,-10.52604,0.043793,-0.035201,0.075579
0.13299989700317383,-4.378649,-0.314394,-10.514417,0.044858,-0.034326,0.075683
0.13700008392333984,-4.335384,-0.357301,-10.523437,0.04531,-0.033947,0.075426
0.14100003242492676,-4.294485,-0.407731,-10.529435,0.046015,-0.033717,0.076308
0.14499998092651367,-4.25341,-0.461009,-10.513134,0.047105,-0.032784,0.077485
0.14899992942810059,-4.207113,-0.516722,-10.523296,0.048169,-0.032105,0.078064
0.1529998779296875,-4.173438,-0.573677,-10.51276,0.048851,-0.032299,0.080373
0.15700006484985352,-4.153321,-0.614296,-10.507191,0.050262,-0.031727,0.081485
0.16100001335144043,-4.127784,-0.657493,-10.505375,0.05009,-0.032363,0.082981
0.1659998893737793,-4.124953,-0.67966,-10.491076,0.050525,-0.03214,0.083278
0.1700000762939453,-4.132469,-0.701363,-10.490828,0.05081,-0.032097,0.083638
0.17400002479553223,-4.118628,-0.700399,-10.466558,0.050426,-0.032601,0.08386
0.17799997329711914,-4.125005,-0.68497,-10.46955,0.050202,-0.032639,0.083941
0.1830000877380371,-4.138219,-0.667976,-10.445057,0.049217,-0.032911,0.082882
0.18700003623962402,-4.15681,-0.655037,-10.458545,0.049326,-0.033401,0.082721
0.19099998474121094,-4.167931,-0.637757,-10.438857,0.048828,-0.033397,0.082181
0.19499993324279785,-4.181347,-0.594919,-10.438954,0.048004,-0.034353,0.081495
0.19899988174438477,-4.192633,-0.572643,-10.419603,0.046704,-0.034414,0.081093
0.20300006866455078,-4.219923,-0.537813,-10.439352,0.046655,-0.035201,0.080415
0.20799994468688965,-4.257539,-0.507474,-10.408884,0.04634,-0.035924,0.079688
0.21199989318847656,-4.270681,-0.492227,-10.37944,0.04568,-0.03561,0.080024
0.21600008010864258,-4.311562,-0.471995,-10.37955,0.045357,-0.036117,0.079381
0.2200000286102295,-4.318567,-0.448622,-10.37087,0.044944,-0.036747,0.078673
0.2239999771118164,-4.344986,-0.453192,-10.362578,0.044431,-0.037676,0.077815
0.22799992561340332,-4.347866,-0.433727,-10.35257,0.045262,-0.037686,0.077293
0.2330000400543213,-4.357739,-0.424354,-10.322557,0.045167,-0.037376,0.077301
0.2369999885559082,-4.317671,-0.412349,-10.311655,0.0449,-0.036465,0.077291
0.24099993705749512,-4.292902,-0.416088,-10.315136,0.045248,-0.036068,0.077744
0.24499988555908203,-4.259272,-0.417475,-10.339052,0.045021,-0.035673,0.077022
0.25,-4.214291,-0.417319,-10.333284,0.045386,-0.034072,0.077653
0.2539999485015869,-4.148934,-0.415073,-10.350956,0.045857,-0.032613,0.078334
0.25799989700317383,-4.092606,-0.433662,-10.338797,0.04627,-0.032228,0.078944
0.26200008392333984,-4.051431,-0.454484,-10.371814,0.046316,-0.031974,0.078815
0.26600003242492676,-4.022156,-0.459346,-10.353574,0.047094,-0.031083,0.078972
0.26999998092651367,-3.999314,-0.495389,-10.372413,0.047338,-0.03024,0.079811
0.2739999294281006,-3.949035,-0.495597,-10.358033,0.04815,-0.029449,0.080822
0.2779998779296875,-3.92281,-0.510113,-10.383157,0.048609,-0.029669,0.08173
0.28299999237060547,-3.904381,-0.496507,-10.382194,0.048659,-0.029699,0.082453
0.2869999408721924,-3.900112,-0.496856,-10.38702,0.048315,-0.029758,0.0823
0.29200005531311035,-3.895102,-0.474491,-10.380786,0.048177,-0.029344,0.082098
0.29600000381469727,-3.861726,-0.432669,-10.358629,0.047714,-0.029868,0.083636
0.2999999523162842,-3.870438,-0.390982,-10.375642,0.047194,-0.029835,0.083279
0.3039999008178711,-3.881357,-0.351784,-10.341798,0.04595,-0.030277,0.082629
0.3080000877380371,-3.874738,-0.268441,-10.371444,0.044931,-0.030283,0.082056
0.312000036239624,-3.876966,-0.224042,-10.342805,0.043366,-0.030188,0.082651
0.31599998474121094,-3.890008,-0.181096,-10.341313,0.042617,-0.030085,0.082369
0.31999993324279785,-3.875037,-0.115713,-10.364432,0.041885,-0.03082,0.082615
0.32399988174438477,-3.889344,-0.074447,-10.365766,0.041017,-0.031128,0.081797
0.3280000686645508,-3.914978,-0.032141,-10.360207,0.040116,-0.03095,0.080991
0.3340001106262207,-3.927982,0.002112,-10.360774,0.039427,-0.031545,0.080925
0.3380000591278076,-3.943683,0.019259,-10.339814,0.039494,-0.03173,0.081316
0.34200000762939453,-3.944358,0.025364,-10.345188,0.039444,-0.032495,0.081544
0.34599995613098145,-3.964104,0.037816,-10.341417,0.039692,-0.032435,0.081576
0.34999990463256836,-3.956963,0.028189,-10.317326,0.039719,-0.032697,0.081928
0.3540000915527344,-4.003465,0.030479,-10.31834,0.040194,-0.033139,0.081975
0.3580000400543213,-4.005082,0.018591,-10.309273,0.04056,-0.03359,0.082928
0.3619999885559082,-4.033605,0.002799,-10.312146,0.040655,-0.033972,0.0827
0.3659999370574951,-4.052369,-0.011842,-10.309652,0.040733,-0.034627,0.082377
0.36999988555908203,-4.043753,-0.021465,-10.293456,0.04196,-0.034259,0.082395
0.375,-4.047288,-0.039865,-10.285255,0.0426,-0.033771,0.082265
0.3789999485015869,-4.039046,-0.074271,-10.297386,0.042773,-0.033289,0.081904
0.3840000629425049,-4.031728,-0.097187,-10.319338,0.044055,-0.032792,0.081876
0.3880000114440918,-4.005224,-0.113961,-10.322246,0.044556,-0.03276,0.081523
0.3919999599456787,-3.989439,-0.136152,-10.318216,0.044868,-0.032333,0.081715
0.3959999084472656,-3.975523,-0.136659,-10.324646,0.044845,-0.031878,0.081914
0.40000009536743164,-3.953722,-0.144447,-10.334538,0.045355,-0.031688,0.08159
0.40400004386901855,-3.939613,-0.126552,-10.351664,0.044878,-0.031029,0.081331
0.40799999237060547,-3.936987,-0.10642,-10.349953,0.044401,-0.031157,0.081613
0.4119999408721924,-3.933745,-0.078881,-10.377311,0.043713,-0.030965,0.081384
0.41700005531311035,-3.912778,-0.023368,-10.396468,0.042587,-0.030581,0.080878
0.42100000381469727,-3.903113,0.017382,-10.409323,0.042224,-0.030481,0.080541
0.4249999523162842,-3.907164,0.053949,-10.390555,0.04112,-0.030312,0.080458
0.4289999008178711,-3.891726,0.099906,-10.37409,0.04081,-0.030062,0.080353
0.4330000877380371,-3.884825,0.128246,-10.411412,0.039469,-0.029901,0.080871
0.437999963760376,-3.874314,0.169825,-10.39105,0.039666,-0.030281,0.080491
